channel,freq,split,A,B,alpha,beta,ell_c,gamma,delta
TT,100,1,0.0008485243852916831,0.7053852359149219,0.11653952481813218,0.6540338506275666,500050.19700552797,8.513895928426309e-11,7.823107726455165
TT,100,2,0.0008485243852916831,0.7053852359149219,0.10971140654001657,0.6540338506275666,500050.19700552797,8.513895928426309e-11,7.823107726455165
TT,143,1,0.0002545272500322291,0.14995916576613322,1.7517145492292434e-5,1.9570733874035224,8226.688593847575,2.1253286813263697,7.999999999999999
TT,143,2,0.00023961479380418135,0.2888788365021587,0.008475782187868814,2.1300449668044263e-11,549067.4708234547,-0.2857868882820931,2.518630248964544
TT,217,1,0.000734233427301735,1.914293071634918,0.0004544529715021834,0.0,10000.0,2.1153835157740346,-0.13519428396363514
TT,217,2,0.0005785040839235875,3.406236416897173,0.0004335887457444502,0.0,7302.588148464574,6.0,6.0
EE,100,1,0.0010296217192145608,0.09846447033406006,6.28937158499538e-5,-0.8051648330410066,308.54155454652954,1.461228211132307,-1.2781519715149052
EE,100,2,0.0013822161837951435,0.26770317486638706,0.0007033836091234718,0.9302170861952346,499999.9999983805,-7.72515297535249e-8,-7.858695738552283e-8
EE,143,1,0.0004066132205178054,0.8772247749780403,0.0008234302035177993,0.0725069644326628,1160.8655053507691,5.999999999999999,-0.018838927315851402
EE,143,2,0.0008905369677469874,0.31334004923963765,0.0003566781515884823,0.48588914228416447,1138.0083037267186,-5.999999999999999,0.013160838218089532
EE,217,1,1.2366653931450558e-8,7.999999999999999,0.0008519964957411541,0.54147981309386,812.6908100216641,-0.7992296198637001,-1.2504387570730362
EE,217,2,4.256406543211844e-6,6.375846718065118,7.2726096856095774e-9,2.379805621741552,34345.115086938626,-0.3648539191621989,-7.999999999999999
