     2    0.11714E+04    0.51091E-01    0.15977E-05    0.32694E+01
     3    0.10875E+04    0.84857E-01    0.31876E-05    0.41574E+01
     4    0.10109E+04    0.96805E-01    0.53033E-05    0.43123E+01
     5    0.95198E+03    0.87102E-01    0.79447E-05    0.40250E+01
     6    0.90902E+03    0.65191E-01    0.11115E-04    0.35255E+01
     7    0.87888E+03    0.41894E-01    0.14815E-04    0.29598E+01
     8    0.85827E+03    0.24262E-01    0.19048E-04    0.24176E+01
     9    0.84501E+03    0.14248E-01    0.23813E-04    0.19452E+01
    10    0.83757E+03    0.10178E-01    0.29112E-04    0.15692E+01
    11    0.83410E+03    0.91049E-02    0.34945E-04    0.13007E+01
    12    0.83454E+03    0.85968E-02    0.41314E-04    0.11416E+01
    13    0.83767E+03    0.79106E-02    0.48219E-04    0.10706E+01
    14    0.84214E+03    0.68666E-02    0.55664E-04    0.10618E+01
    15    0.84791E+03    0.59224E-02    0.63649E-04    0.10960E+01
    16    0.85528E+03    0.55558E-02    0.72175E-04    0.11563E+01
    17    0.86457E+03    0.56875E-02    0.81245E-04    0.12289E+01
    18    0.87587E+03    0.60980E-02    0.90859E-04    0.13013E+01
    19    0.88815E+03    0.65629E-02    0.10102E-03    0.13643E+01
    20    0.90039E+03    0.69226E-02    0.11173E-03    0.14118E+01
    21    0.91286E+03    0.72811E-02    0.12299E-03    0.14491E+01
    22    0.92595E+03    0.77943E-02    0.13479E-03    0.14826E+01
    23    0.93957E+03    0.85632E-02    0.14715E-03    0.15141E+01
    24    0.95350E+03    0.96527E-02    0.16007E-03    0.15448E+01
    25    0.96774E+03    0.11038E-01    0.17353E-03    0.15784E+01
    26    0.98233E+03    0.12672E-01    0.18756E-03    0.16181E+01
    27    0.99732E+03    0.14504E-01    0.20214E-03    0.16624E+01
    28    0.10127E+04    0.16502E-01    0.21727E-03    0.17088E+01
    29    0.10284E+04    0.18690E-01    0.23297E-03    0.17547E+01
    30    0.10442E+04    0.21096E-01    0.24923E-03    0.17974E+01
    31    0.10602E+04    0.23683E-01    0.26604E-03    0.18332E+01
    32    0.10765E+04    0.26413E-01    0.28342E-03    0.18583E+01
    33    0.10931E+04    0.29287E-01    0.30136E-03    0.18701E+01
    34    0.11100E+04    0.32318E-01    0.31986E-03    0.18671E+01
    35    0.11270E+04    0.35539E-01    0.33893E-03    0.18528E+01
    36    0.11441E+04    0.38979E-01    0.35856E-03    0.18300E+01
    37    0.11614E+04    0.42652E-01    0.37875E-03    0.17962E+01
    38    0.11791E+04    0.46567E-01    0.39951E-03    0.17486E+01
    39    0.11970E+04    0.50742E-01    0.42083E-03    0.16899E+01
    40    0.12151E+04    0.55192E-01    0.44272E-03    0.16242E+01
    41    0.12334E+04    0.59931E-01    0.46518E-03    0.15544E+01
    42    0.12518E+04    0.64950E-01    0.48819E-03    0.14788E+01
    43    0.12704E+04    0.70236E-01    0.51178E-03    0.13946E+01
    44    0.12891E+04    0.75777E-01    0.53593E-03    0.12989E+01
    45    0.13080E+04    0.81558E-01    0.56064E-03    0.11889E+01
    46    0.13271E+04    0.87573E-01    0.58592E-03    0.10625E+01
